"university","per_capita_income","living_wage_income","city"
"University of Michigan, Ann Arbor",44710,38537,"Ann Arbor, MI"
"Arizona State University",33205,36504,"Tempe, AZ"
"Indiana University, Bloomington",25437,33065,"Bloomington, IN"
"University of Florida",24300,31748,"Gainseville, FL"
"University of Washington",63610,41198,"Seattle, WA"
"University of California, Davis",41271,40930,"Davis, CA"
"University of Georgia",25203,33042,"Athens, GA"
"University of California, Santa Barbara",NA,50497,"Santa Barbara, CA"
"University of California, Los Angeles",NA,44961,"Los Angeles, CA"
